,time,value
0,17:12:43,79
1,17:12:58,79
2,17:13:03,78
3,17:13:08,79
4,17:13:14,79
5,17:13:19,78
6,17:13:24,78
7,17:13:34,77
8,17:13:39,78
9,17:13:49,77
10,17:13:54,78
11,17:14:08,78
12,17:14:23,79
13,17:14:28,81
14,17:14:33,83
15,17:14:43,83
16,17:14:48,82
17,17:15:03,83
18,17:15:18,82
19,17:15:28,83
20,17:15:33,80
21,17:15:43,79
22,17:15:58,77
23,17:16:13,77
24,17:16:34,77
25,17:16:44,76
26,17:16:49,77
27,17:16:59,77
28,17:17:14,78
29,17:17:19,76
30,17:17:24,76
31,17:17:29,77
32,17:17:39,76
33,17:17:54,76
34,17:18:09,76
35,17:18:19,77
36,17:18:34,78
37,17:18:39,79
38,17:18:44,80
39,17:18:49,79
40,17:18:59,80
41,17:19:04,79
42,17:19:09,80
43,17:19:14,81
44,17:19:24,82
45,17:19:39,83
46,17:19:44,82
47,17:19:54,81
48,17:20:04,82
49,17:20:09,84
50,17:20:14,83
51,17:20:19,81
52,17:20:34,81
53,17:20:49,83
54,17:20:54,81
55,17:20:59,80
56,17:21:09,82
57,17:21:14,84
58,17:21:19,85
59,17:21:24,84
60,17:21:29,83
61,17:21:44,82
62,17:21:49,81
63,17:21:54,82
64,17:21:59,81
65,17:22:14,81
66,17:22:19,80
67,17:22:24,77
68,17:22:39,78
69,17:22:49,79
70,17:22:54,80
71,17:22:59,79
72,17:23:04,78
73,17:23:09,79
74,17:23:19,78
75,17:23:24,77
76,17:23:29,76
77,17:23:39,75
78,17:23:44,74
79,17:23:54,75
80,17:24:09,75
81,17:24:19,76
82,17:24:29,77
83,17:24:44,77
84,17:24:49,78
85,17:24:54,79
86,17:24:59,79
87,17:25:14,79
88,17:25:19,88
89,17:25:24,91
90,17:25:29,92
91,17:25:34,94
92,17:25:49,94
93,17:25:54,93
94,17:25:59,94
95,17:26:09,95
96,17:26:14,89
97,17:26:24,88
98,17:26:34,87
99,17:26:39,85
100,17:26:44,84
101,17:26:49,86
102,17:26:54,89
103,17:26:59,87
104,17:27:04,86
105,17:27:09,85
106,17:27:14,83
107,17:27:19,82
108,17:27:34,81
109,17:27:39,80
110,17:27:49,80
111,17:27:54,79
112,17:28:09,78
113,17:28:14,78
114,17:28:19,76
115,17:28:32,76
116,17:28:47,76
117,17:28:57,77
118,17:29:02,76
119,17:29:07,77
120,17:29:17,78
121,17:29:22,78
122,17:29:27,79
123,17:29:37,78
124,17:29:52,78
125,17:30:07,78
126,17:30:17,76
127,17:30:32,76
128,17:30:47,76
129,17:30:52,77
130,17:31:07,76
131,17:31:22,77
132,17:31:32,78
133,17:31:37,80
134,17:31:42,79
135,17:31:47,78
136,17:32:02,80
137,17:32:07,82
138,17:32:22,82
139,17:32:27,81
140,17:32:32,80
141,17:32:37,79
142,17:32:42,77
143,17:32:57,77
144,17:33:02,78
145,17:33:07,77
146,17:33:17,76
147,17:33:27,75
148,17:33:32,73
149,17:33:42,74
150,17:33:47,80
151,17:33:52,87
152,17:33:57,86
153,17:34:02,81
154,17:34:12,82
155,17:34:27,82
156,17:34:37,83
157,17:34:42,82
158,17:34:57,82
159,17:35:02,81
160,17:35:07,83
161,17:35:12,82
162,17:35:17,81
163,17:35:27,81
164,17:35:42,81
165,17:35:47,79
166,17:35:52,79
167,17:35:57,79
168,17:36:12,79
169,17:36:17,78
170,17:36:32,78
171,17:36:47,78
172,17:37:02,79
173,17:37:07,82
174,17:37:12,79
175,17:37:17,77
176,17:37:22,77
177,17:37:27,74
178,17:37:32,72
179,17:37:37,72
180,17:37:52,74
181,17:37:57,75
182,17:38:07,77
183,17:38:17,77
184,17:38:22,79
185,17:38:31,79
186,17:38:36,81
187,17:38:51,80
188,17:39:01,81
189,17:39:06,82
190,17:39:11,83
191,17:39:16,85
192,17:39:21,86
193,17:39:26,88
194,17:39:31,89
195,17:39:41,90
196,17:39:46,89
197,17:39:51,88
198,17:40:01,88
199,17:40:06,89
200,17:40:11,86
201,17:40:18,86
202,17:40:35,85
203,17:40:45,83
204,17:40:50,84
205,17:41:06,94
206,17:41:31,96
207,17:41:43,95
208,17:41:48,92
209,17:41:53,91
210,17:41:58,90
211,17:42:03,92
212,17:42:08,91
213,17:42:13,94
214,17:42:18,96
215,17:42:23,100
216,17:42:28,100
217,17:42:33,103
218,17:42:40,103
219,17:42:45,101
220,17:42:50,99
221,17:43:02,98
222,17:43:07,97
223,17:43:12,99
224,17:43:22,99
225,17:43:27,98
226,17:43:32,97
227,17:43:37,96
228,17:43:42,95
229,17:43:47,96
